fn_name,indent,start,end,lines,kind
jump_oob_error,0,21,63,43,core
push_str_tag,0,64,71,8,ui
fmt_f64,0,72,88,17,core
pop_str_idx,0,89,95,7,core
pop_tagged,0,96,113,18,ui
decode_str_tag_from_i32,0,114,392,279,ui
nanbox_single_to_f64,0,393,407,15,core
nv_truthy,0,408,419,12,core
new,4,420,503,84,core
set_host,4,504,508,5,core
clear_host,4,509,514,6,core
decode_tagged_value,4,515,526,12,ui
decode_tagged_nv,4,527,556,30,ui
new_with_capture,4,557,564,8,core
load_strings,4,565,593,29,core
inject_value,4,594,663,70,core
materialize_value,4,664,687,24,core
intern_string,4,688,692,5,core
set_debugger,4,693,697,5,core
enable_trace,4,698,704,7,core
get_trace_json,4,705,713,9,core
merge_native_interface,4,714,720,7,core
load_generic_registry,4,721,730,10,core
load_task_handler_registry,4,731,742,12,task
find_handler_offset,4,743,771,29,core
add_string,4,772,813,42,core
intern_runtime_str,4,814,838,25,core
insert_heap_object,4,839,878,40,core
get_heap_object,4,879,888,10,core
get_heap_object_mut,4,889,900,12,core
get_any_object,4,901,910,10,core
vmref_variant_name,4,911,930,20,core
remove_heap_object,4,931,943,13,core
push_i64_vm,4,944,949,6,core
push_u64_vm,4,950,955,6,core
pop_i64_vm,4,956,962,7,core
pop_u64_vm,4,963,968,6,core
heap_object_count,4,969,973,5,core
contains_heap_object,4,974,978,5,core
clear_heap_objects,4,979,989,11,core
push_value,4,990,1042,53,core
pop_auto_value,4,1043,1164,122,core
resolve_array_elem,4,1165,1183,19,core
pop_value_as_int,4,1184,1189,6,core
pop_value_as_float,4,1190,1195,6,core
pop_value_as_double,4,1196,1204,9,core
bool_eq,4,1205,1216,12,core
compare_opaque_objects,4,1217,1234,18,core
struct_eq,4,1235,1297,63,core
is_option_none,4,1298,1309,12,core
is_option_some,4,1310,1321,12,core
get_option_inner,4,1322,1335,14,core
values_equal,4,1336,1355,20,core
pop_value_as_string_index,4,1356,1365,10,core
spawn_task,4,1366,1378,13,task
get_string,4,1379,1404,26,core
call_closure,4,1405,1501,97,core
runaway_growth_exceeded,4,1502,1508,7,core
call_fn_by_name,4,1509,1658,150,core
is_generator_fn,4,1659,1724,66,core
get_fn_n_args,4,1725,1738,14,core
match_message_pattern_vm,4,1739,1899,161,core
run_task_loop,4,1900,2196,297,task
run_one_instruction,4,2197,8109,5913,core
execute_single_frame,4,8110,8149,40,core
intercept_error,4,8150,8185,36,core
handle_await_future,4,8186,8214,29,core
install_future_captures,4,8215,8237,23,core
execute_future_body,4,8238,8314,77,core
execute_task,4,8315,8337,23,task
record_trace,4,8338,8354,17,core
