opcode,value,disposition
NOP,0x00,移植
POP,0x01,移植
POP_N,0x02,移植
DUP,0x03,移植
SWAP,0x04,仅声明
DROP,0x05,移植
RESERVE_STACK,0x06,移植
CONST_I32,0x10,移植
CONST_U8,0x11,仅声明
CONST_0,0x12,移植
CONST_1,0x13,移植
CONST_F32,0x14,移植
CONST_F64,0x15,移植
CONST_I64,0x16,移植
CONST_U64,0x17,移植
LOAD_STR,0x1F,移植
SET_FIELD,0x2A,移植
SET_ELEM,0x2B,移植
GET_ELEM,0x2C,移植
GET_FIELD,0x2D,移植
CREATE_OBJ,0x2E,移植
CREATE_ARRAY,0x2F,移植
ARRAY_LEN,0x48,移植
MOD_F,0x49,移植
MOD_D,0x4A,移植
SLICE,0x5C,移植
CREATE_TUPLE,0x5D,移植
GET_TUPLE_FIELD,0x5E,移植
PROMOTE_F64,0xF1,移植
CREATE_RANGE,0x75,移植
CREATE_RANGE_EQ,0x76,移植
BUILD_FSTR,0x77,移植
NULL_COALESCE,0x78,移植
ERROR_PROPAGATE,0x79,移植
CREATE_NODE,0x74,移植
CREATE_SOME,0x7D,移植
CREATE_NONE,0x7E,移植
CREATE_OK,0x7F,移植
CREATE_ERR,0xE0,移植
IS_SOME,0xE1,移植
IS_OK,0xE2,移植
UNWRAP_SOME,0xE3,移植
UNWRAP_OK,0xE4,移植
UNWRAP_ERR,0xE5,移植
TYPE_CAST_I32,0xE6,移植
TYPE_CAST_U32,0xE7,移植
TYPE_CAST_I64,0xE8,移植
TYPE_CAST_U64,0xE9,移植
TYPE_CAST_F64,0xEA,移植
TYPE_CAST_PTR,0xEB,移植
TYPE_TO_STR,0xEC,移植
TYPE_TO_I32,0xED,移植
TYPE_TO_F64,0xEE,移植
TYPE_F64_TO_STR,0xF3,移植
TYPE_I64_TO_STR,0xF4,移植
TYPE_U64_TO_STR,0xF5,移植
TYPE_BOOL_TO_STR,0xF6,移植
TYPE_F64_TO_I32,0xF7,移植
TYPE_STR_TO_I64,0xF8,移植
TYPE_F32_TO_STR,0xF9,移植
TYPE_F32_TO_I32,0xFA,移植
TO_STR,0x7A,移植
IS_NIL,0x7B,移植
STR_CAT,0x7C,移植
LOAD_LOCAL,0x20,移植
STORE_LOCAL,0x21,移植
LOAD_LOC_0,0x22,移植
LOAD_LOC_1,0x23,移植
LOAD_LOC_2,0x24,移植
STORE_LOC_0,0x25,移植
STORE_LOC_1,0x26,移植
ADD,0x30,移植
SUB,0x31,移植
MUL,0x32,移植
DIV,0x33,移植
MOD,0x34,移植
NEG,0x35,移植
ADD_F,0x36,移植
SUB_F,0x37,移植
MUL_F,0x38,移植
DIV_F,0x39,移植
NEG_F,0x3A,移植
ADD_D,0x3B,移植
SUB_D,0x3C,移植
MUL_D,0x3D,移植
DIV_D,0x3E,移植
NEG_D,0x3F,移植
MOD_U64,0xEF,移植
I32_TO_F32,0x46,移植
I64_TO_F64,0x47,移植
U64_TO_F64,0x4B,移植
ADD_U64,0x4C,移植
SUB_U64,0x4D,移植
MUL_U64,0x4E,移植
DIV_U64,0x4F,移植
AND,0x40,移植
OR,0x41,移植
XOR,0x42,移植
NOT,0x43,移植
SHL,0x44,仅声明
SHR,0x45,仅声明
EQ,0x50,移植
NE,0x51,移植
LT,0x52,移植
GT,0x53,移植
LE,0x54,移植
GE,0x55,移植
EQ_D,0x56,移植
NE_D,0x57,移植
LT_D,0x58,移植
GT_D,0x59,移植
LE_D,0x5A,移植
GE_D,0x5B,移植
EQ_U64,0xBA,移植
NE_U64,0xBB,移植
LT_U64,0xBC,移植
GT_U64,0xBD,移植
LE_U64,0xBE,移植
GE_U64,0xBF,移植
EQ_F,0xC7,移植
NE_F,0xC8,移植
LT_F,0xC9,移植
GT_F,0xCA,移植
LE_F,0xCB,移植
GE_F,0xCC,移植
JMP,0x60,移植
JMP_IF_Z,0x61,移植
JMP_IF_NZ,0x62,移植
JMP_L,0x63,仅声明
JMP_FAR,0x64,移植
CALL,0x70,移植
RET,0x71,移植
CALL_NAT,0x72,移植
CALL_SPEC,0x73,移植
CALL_PY,0x5F,移植
SPAWN,0x80,剔除(并发/actor,432按需恢复)
TASK_ID,0x81,移植
YIELD_TASK,0x82,移植
SLEEP,0x83,移植
JOIN,0x84,移植
CHAN_NEW,0x85,移植
SEND,0x86,移植
RECV,0x87,移植
TRY_RECV,0x88,移植
SPAWN_GO,0x89,剔除(并发/actor,432按需恢复)
YIELD_VAL,0x8D,移植
CREATE_GENERATOR,0x8E,移植
TASK_LOOP,0x8A,移植
HANDLE_MSG,0x8B,移植
REPLY,0x8C,移植
CLOSURE,0x90,移植
CAPTURE_VAR,0x91,移植
LOAD_CAPTURED,0x92,移植
STORE_CAPTURED,0x93,移植
CALL_CLOSURE,0x94,移植
CREATE_LIST_INT,0xA0,移植
CREATE_LIST_STR,0xA1,移植
CREATE_LIST_BOOL,0xA2,移植
LIST_PUSH_INT,0xA3,移植
LIST_POP_INT,0xA4,移植
LIST_GET_INT,0xA5,移植
LIST_SET_INT,0xA6,移植
CREATE_LIST_INT_INLINE,0xA7,移植
CREATE_LIST_STR_INLINE,0xA8,移植
CREATE_LIST_BOOL_INLINE,0xA9,移植
NEW_INSTANCE,0xB0,移植
CONSTRUCT_INSTANCE,0xB1,移植
GET_GENERIC_FIELD,0xB2,移植
SET_GENERIC_FIELD,0xB3,移植
LOAD_REF,0xB4,移植
STORE_REF,0xB5,移植
LOAD_MUT_REF,0xB6,移植
STORE_MUT_REF,0xB7,移植
FN_PROLOG,0xB8,移植
IS_VARIANT,0xB9,移植
CREATE_FUTURE,0xC0,剔除(并发/actor,432按需恢复)
AWAIT_FUTURE,0xC1,剔除(并发/actor,432按需恢复)
POLL_FUTURE,0xC2,剔除(并发/actor,432按需恢复)
LOAD_STATE_FIELD,0xC3,移植
STORE_STATE_FIELD,0xC4,移植
LOAD_GLOBAL,0xC5,移植
STORE_GLOBAL,0xC6,移植
SOURCE_LINE,0xFE,移植
PRINT,0xF0,仅声明
PUSH_HANDLER,0xFD,移植
POP_HANDLER,0x8F,移植
PUSH_NIL,0xFB,移植
PUSH_BOOL,0xFC,移植
HALT,0xFF,移植
PUSH_ACCUM,0xD0,移植
ACCUM_PAIR,0xD1,移植
ACCUM_NODE,0xD2,移植
ACCUM_MERGE,0xD3,移植
POP_ACCUM,0xD4,移植
