native,ident,disposition
auto.code_editor.text,2910,核心
auto.code_editor.cursor_line,2911,核心
auto.code_editor.cursor_col,2912,核心
auto.code_editor.selection_len,2913,核心
auto.code_editor.find,2914,核心
auto.code_editor.set_text,2915,核心
auto.console.log,2916,核心
auto.console.lines,2917,核心
auto.console.clear,2918,核心
auto.code_editor.undo,2919,核心
auto.code_editor.redo,2920,核心
auto.code_editor.select_all,2921,核心
auto.code_editor.cut,2922,核心
auto.code_editor.copy,2923,核心
auto.code_editor.paste,2924,核心
auto.clipboard.text,2925,核心
auto.clipboard.set_text,2926,核心
auto.dialog.open,2927,核心
auto.dialog.save,2928,核心
auto.file.basename,2929,核心
auto.code_editor.fold_toggle,2932,核心
auto.code_editor.fold_hidden_count,2933,核心
auto.list.new,100,核心
auto.list.push,101,核心
auto.list.pop,102,核心
auto.list.len,103,核心
auto.list.is_empty,104,核心
auto.list.clear,105,核心
auto.list.get,106,核心
auto.list.set,107,核心
auto.list.insert,108,核心
auto.list.remove,109,核心
auto.list.drop,110,核心
auto.list.reserve,118,核心
auto.list.capacity,205,核心
auto.list.map,2060,核心
auto.list.filter,2061,核心
auto.list.for_each,2062,核心
auto.list.find,2063,核心
auto.list.any,2064,核心
auto.list.all,2065,核心
auto.list.reduce,2066,核心
auto.list.sort,2067,核心
auto.list.sort_by,2068,核心
auto.list.contains,2069,核心
auto.list.iter,111,核心
auto.iterator.next,112,核心
auto.iterator.map,113,核心
auto.iterator.filter,114,核心
auto.iterator.collect,115,核心
auto.iterator.reduce,116,核心
auto.iterator.find,117,核心
auto.iterator.enumerate,119,核心
auto.hashmap.new,120,核心
auto.hashmap.insert_str,121,核心
auto.hashmap.insert_int,122,核心
auto.hashmap.get_str,123,核心
auto.hashmap.get_int,124,核心
auto.hashmap.contains,125,核心
auto.hashmap.remove,126,核心
auto.hashmap.size,127,核心
auto.hashmap.clear,128,核心
auto.hashmap.drop,129,核心
auto.hashmap.is_empty,1290,核心
auto.hashmap.get_or,1291,核心
auto.hashmap.insert,121,核心
auto.hashmap.get,123,核心
auto.hashmap.keys,1292,核心
auto.hashset.new,1293,核心
auto.hashset.insert,130,核心
auto.hashset.contains,131,核心
auto.hashset.remove,132,核心
auto.hashset.size,133,核心
auto.hashset.clear,134,核心
auto.hashset.drop,135,核心
auto.vecdeque.new,136,核心
auto.vecdeque.push_back,137,核心
auto.vecdeque.push_front,138,核心
auto.vecdeque.pop_back,139,核心
auto.vecdeque.pop_front,140,核心
auto.vecdeque.front,141,核心
auto.vecdeque.back,142,核心
auto.vecdeque.size,143,核心
auto.vecdeque.is_empty,144,核心
auto.vecdeque.clear,145,核心
auto.vecdeque.drop,146,核心
auto.btreemap.new,147,核心
auto.btreemap.insert,148,核心
auto.btreemap.get,149,核心
auto.btreemap.contains,150,核心
auto.btreemap.remove,151,核心
auto.btreemap.size,152,核心
auto.btreemap.is_empty,153,核心
auto.btreemap.clear,154,核心
auto.btreemap.first_key,155,核心
auto.btreemap.last_key,156,核心
auto.btreemap.drop,157,核心
auto.stringbuilder.new,160,核心
auto.stringbuilder.append,161,核心
auto.stringbuilder.append_int,162,核心
auto.stringbuilder.append_char,163,核心
auto.stringbuilder.len,164,核心
auto.stringbuilder.clear,165,核心
auto.stringbuilder.drop,166,核心
auto.stringbuilder.build,167,核心
auto.heap.new,195,核心
auto.heap.capacity,196,核心
auto.heap.try_grow,197,核心
auto.heap.drop,198,核心
auto.inline_int64.new,199,核心
auto.inline_int64.capacity,200,核心
auto.inline_int64.try_grow,201,核心
auto.inline_int64.drop,202,核心
auto.alloc.array,190,核心
auto.realloc.array,191,核心
auto.free.array,192,核心
auto.str.len,170,核心
auto.str.is_empty,1501,核心
auto.str.char_at,1502,核心
auto.str.substr,1503,核心
auto.str.sub,1524,核心
auto.str.slice,1524,核心
auto.str.contains,1504,核心
auto.str.starts_with,1505,核心
auto.str.ends_with,1506,核心
auto.str.trim,1507,核心
auto.str.split,1508,核心
auto.str.repeat,1509,核心
auto.str.replace,1510,核心
auto.str.to_upper,1511,核心
auto.str.to_lower,1512,核心
auto.str.upper,175,核心
