fn_name,indent,start,end,lines,kind
body_contains_yield,0,18,122,105,core
type_to_native_suffix,0,123,135,13,core
default_expr_for_type,0,136,439,304,core
new,4,440,574,135,core
new_for_config,4,575,596,22,core
compile_config_program,4,597,657,61,core
value_to_expr,4,658,701,44,core
register_builtin_option_variants,4,702,726,25,core
register_enums_from_data,4,727,763,37,core
new_with_type_store,4,764,961,198,ui
track_generic,4,962,971,10,core
get_monomorphic_name,4,972,980,9,core
get_generic_instantiations,4,981,985,5,core
get_list_instantiations,4,986,997,12,core
monomorphize,4,998,1010,13,core
has_monomorphic_module,4,1011,1015,5,core
get_monomorphic_name_checked,4,1016,1023,8,core
compile_stmt,4,1024,4025,3002,core
compile_config_stmt_expr,4,4026,4123,98,core
compile_config_node,4,4124,4196,73,core
compile_body_inline,4,4197,4227,31,core
resolve_call_symbol,4,4228,4267,40,core
emit_api_host_call,4,4268,4318,51,core
emit_api_http_call,4,4319,4447,129,core
emit_call_nat_by_name,4,4448,4457,10,core
emit_str_const_push,4,4458,4466,9,core
emit_url_with_param,4,4467,4491,25,core
handle_use_stmt,4,4492,4566,75,core
handle_rust_import,4,4567,4639,73,core
handle_c_import,4,4640,4685,46,core
handle_py_import,4,4686,4722,37,core
register_py_object_builtins,4,4723,4754,32,core
compile_expr,4,4755,9554,4800,core
finish,4,9555,9587,33,core
emit,4,9588,9593,6,core
emit_op,4,9594,9598,5,core
emit_byte,4,9599,9602,4,core
emit_i32,4,9603,9607,5,core
emit_u32,4,9608,9612,5,core
emit_u16,4,9613,9618,6,core
emit_source_line,4,9619,9628,10,core
emit_i16,4,9629,9633,5,core
emit_f32,4,9634,9638,5,core
emit_f64,4,9639,9643,5,core
emit_i64,4,9644,9648,5,core
emit_u64,4,9649,9653,5,core
ast_key_to_value_key,4,9654,9664,11,core
infer_expr_type,4,9665,9747,83,core
is_float_operation,4,9748,9753,6,core
contains_float,4,9754,9777,24,core
stmt_contains_float,4,9778,9786,9,core
is_double_operation,4,9787,9791,5,core
