fn_name,indent,start,end,lines,kind
parse,4,23,42,20,core
prefix_prec,0,43,46,4,core
postfix_prec,0,47,50,4,core
infix_prec,0,51,83,33,core
prefix_power,0,84,99,16,core
postfix_power,0,100,112,13,core
capitalize_first,0,113,122,10,core
stmt_expr_contains_await,0,123,137,15,core
infix_power,0,138,290,153,core
damerau_levenshtein_1,0,291,351,61,core
from,4,352,358,7,core
parse_expr_fragment,4,359,370,12,core
new,4,371,419,49,core
set_dest,4,420,427,8,core
set_type_registry,4,428,435,8,core
set_database,4,436,439,4,core
new_with_note,4,440,490,51,core
new_with_note_and_first_token,4,491,542,52,core
skip_check,4,543,552,10,core
with_session,4,553,559,7,core
build_dialects,4,560,577,18,core
try_dialect_stmt,4,578,598,21,core
try_token_dialect_stmt,4,599,612,14,core
is_ui_scenario,4,613,620,8,core
new_with_type_store,4,621,626,6,ui
peek,4,627,630,4,core
kind,4,631,634,4,core
pos,4,635,638,4,core
is_kind,4,639,654,16,core
cur_is_soft_ident,4,655,680,26,core
is_fn_annotation,4,681,743,63,core
skip_comments,4,744,766,23,core
take_docs,4,767,779,13,core
next,4,780,820,41,core
expect,4,821,837,17,core
define,4,838,915,78,core
define_alias,4,916,923,8,core
define_rc,4,924,980,57,core
exists,4,981,1018,38,core
define_symbol_location,4,1019,1031,13,core
exit_scope,4,1032,1036,5,core
enter_scope,4,1037,1044,8,core
lookup_meta,4,1045,1066,22,core
lookup_type,4,1067,1149,83,core
get_defined_names,4,1150,1159,10,core
find_type_for_name,4,1160,1169,10,core
lookup_ident_type,4,1170,1182,13,core
break_stmt,4,1183,1187,5,core
continue_stmt,4,1188,1193,6,core
loop_stmt,4,1194,1208,15,core
while_stmt,4,1209,1239,31,core
try_stmt,4,1240,1326,87,core
return_stmt,4,1327,1350,24,core
yield_expr_stmt,4,1351,1369,19,core
reply_stmt,4,1370,1385,16,core
synchronize,4,1386,1452,67,core
is_at_end,4,1453,1460,8,core
add_error,4,1461,1479,19,core
error_limit_exceeded,4,1480,1489,10,core
warn,4,1490,1502,13,core
parse,4,1503,1518,16,core
parse_impl,4,1519,1699,181,core
merge_ext_blocks,4,1700,1783,84,core
skip_line,4,1784,1792,9,core
skip_block,4,1793,1814,22,core
convert_last_block,4,1815,1829,15,core
body_to_obj,4,1830,1860,31,core
parse_expr,4,1861,1897,37,core
expr_pratt,4,1898,1904,7,core
expr_pratt_inner,4,1905,2150,246,core
parse_path_expr,4,2151,2199,49,core
dot_item,4,2200,2255,56,core
is_callable_lhs,4,2256,2270,15,core
try_parse_call_generic_args,4,2271,2337,67,core
expr_pratt_with_left,4,2338,2344,7,core
expr_pratt_with_left_inner,4,2345,2874,530,core
check_asn,4,2875,2896,22,core
op,4,2897,2940,44,core
group,4,2941,2950,10,core
sep_array,4,2951,2967,17,core
array,4,2968,2979,12,core
sep_args,4,2980,2996,17,core
args,4,2997,3069,73,core
object,4,3070,3081,12,core
pair_expr,4,3082,3092,11,core
pair,4,3093,3103,11,core
is_key,4,3104,3112,9,core
