avatar	src,name,size,class
badge	text,type,class
button	text,onclick,class,disabled
card	title,class,onclick
checkbox	checked,onchange,class,disabled
col	class,gap,padding,align,justify
container	class,max_width,padding
divider	class,direction
grid	class,columns,gap
h1	text,class
h2	text,class
icon	name,class,size
image	src,alt,class,fit
input	value,placeholder,type,onchange,onenter,class,disabled
link	href,text,class
modal	visible,onclose,title,class,closable
option	value,text,disabled
p	text,class
progress	value,max,class,type
radio	value,option,text,onchange,class,disabled
radiogroup	value,onchange,class
row	class,gap,padding,align
scroll	class,direction
select	value,onchange,placeholder,class,disabled
slider	value,min,max,step,onchange,class,disabled
spacer	class,size
span	text,class
spinner	size,class
tab	text,value,disabled,class
table	class,bordered,striped
tabs	value,onchange,class
tbody	class
td	text,class,align,colspan
text	
textarea	value,placeholder,rows,cols,onchange,class,disabled,maxlength
th	text,class,align,colspan
thead	class
toggle	checked,onchange,class
tooltip	text,position,class
tr	class,onclick
tree	value,onselect,class
tree_item	text,value,expanded,selected,onclick,class
