accordion	type,collapsible,default,class
accordion_content	class
accordion_item	value,class
accordion_trigger	text,class
alert	variant,title,text,class
alert_dialog	open,class
alert_dialog_action	text,onclick,class
alert_dialog_cancel	text,class
alert_dialog_content	class
alert_dialog_description	text,class
alert_dialog_footer	class
alert_dialog_header	class
alert_dialog_title	text,class
alert_dialog_trigger	as_child,class
aspect_ratio	ratio,class
autocomplete	value,open,class
autocomplete_empty	text
autocomplete_input	placeholder,class
autocomplete_item	value,text,onclick,class
autocomplete_list	class
badge	text,variant,class
breadcrumb	class
breadcrumb_item	class
breadcrumb_link	href,text,onclick,class
breadcrumb_list	class
breadcrumb_page	text,class
breadcrumb_separator	class
button	text,onclick,class,disabled
button_group	orientation,size,variant,class
calendar	value,placeholder,weekday,class
card	variant,class
cardcontent	class
carddescription	text,class
cardfooter	class
cardheader	class
cardtitle	text,class
carousel	align,class
carousel_content	class
carousel_item	class
carousel_next	class
carousel_prev	class
chart	config,class
checkbox	checked,onchange,class,disabled
codeblock	lang,code,class
codepane	auto,vue,class
col	class,gap,padding,align
collapsible	open,default_open,class
collapsible_content	class
collapsible_trigger	as_child,class
combobox	value,open,class
combobox_empty	text
combobox_group	heading,class
combobox_input	placeholder,class
combobox_item	value,text,disabled,onclick,class
combobox_list	class
combobox_trigger	as_child,class
command	query,placeholder,class
command_empty	text
command_group	heading,class
command_input	placeholder,class
command_item	value,text,onclick,class
command_list	class
command_separator	class
command_shortcut	text,class
container	class,max_width,padding
context_menu	open
context_menu_content	class
context_menu_item	text,disabled,onclick,class
context_menu_label	text,class
context_menu_separator	class
context_menu_trigger	as_child
divider	class,direction
drawer	open,direction,class
drawer_close	text,onclick,class
drawer_content	class
drawer_description	text,class
drawer_footer	class
drawer_header	class
drawer_title	text,class
drawer_trigger	as_child
dropdown	open,class
dropdown_content	side,align,class
dropdown_item	value,text,disabled,onclick,class
dropdown_label	text,class
dropdown_separator	class
dropdown_trigger	as_child,class
form	id,onsubmit,class
form_control	class
form_description	text,class
form_field	name,value,class
form_item	class
form_label	for,text,class
form_message	class
grid	class,columns,gap
hover_card	open,open_delay,close_delay
hover_card_content	side,class
hover_card_trigger	as_child
icon	name,class,size
image	src,alt,class,fit
input	value,placeholder,type,onchange,onenter,class,disabled
input_group	class
input_otp	value,length,pattern,class
kbd	text,class
label	for,text,class
link	href,text,class
list	class
list_item	class,onclick
menubar	class
menubar_content	align,class
menubar_item	text,disabled,onclick,class
menubar_label	text,class
menubar_menu	value
menubar_separator	class
menubar_trigger	text,class
native_select	value,name,disabled,class
nav_menu	orientation,class
nav_menu_content	class
nav_menu_indicator	class
nav_menu_item	value,class
nav_menu_link	href,text,active,onclick,class
nav_menu_list	class
nav_menu_trigger	text,class
number_field	value,min,max,step,disabled,class
number_field_decrement	class
number_field_increment	class
number_field_input	placeholder,class
p	text,class
pagination	page,total,per_page,sibling_count,class
pagination_ellipsis	class
pagination_first	onclick,class
pagination_item	value,onclick,class
pagination_last	onclick,class
pagination_list	class
pagination_next	onclick,class
pagination_prev	onclick,class
pin_input	value,length,type,otp,class
pin_input_group	class
pin_input_separator	class
pin_input_slot	index,class
popover	open,x,y,placement,ondismiss,class
popover_content	side,align,class
popover_trigger	as_child,class
previewcard	id,title,auto,vue,class
range_calendar	value,placeholder,class
resizable	direction,class
resizable_handle	with_handle,class
resizable_panel	default_size,min_size,max_size,class
row	class,gap,padding,align
scroll	class,direction
separator	orientation,label,class
sheet	open,class
sheet_content	side,class
sheet_footer	class
sheet_header	class
sheet_title	text,class
sheet_trigger	as_child,class
sidebar	side,variant,collapsible,class
sidebar_content	class
sidebar_footer	class
sidebar_group	class
sidebar_group_content	class
sidebar_group_label	text,class
sidebar_header	class
sidebar_menu	class
sidebar_menu_button	tooltip,active,text,onclick,class
sidebar_menu_item	class
sidebar_provider	class
sidebar_trigger	class
spacer	class,size
span	text,class
stepper	value,orientation,class
stepper_description	text,class
stepper_indicator	class
stepper_item	step,disabled,class
stepper_separator	class
stepper_title	text,class
stepper_trigger	onclick,class
tabs	defaultvalue,class
tabscontent	value,class
tabslist	class
tabstrigger	value,text,class
tags_input	value,placeholder,max,disabled,class
tags_input_delete	onclick,class
tags_input_field	placeholder,class
tags_input_item	value,class
text	
textarea	placeholder,value,disabled,rows,class
toast	position,rich_colors,expand,class
toaster	position
toggle	checked,onchange,class
toggle_group	value,type,disabled,class
toggle_group_item	value,label,disabled,class
